cid,pid,target.X,target.Y,target.Z
36,4,-1,0.49,3.5
37,4,0,0.49,1.5
38,4,0,1.49,1.5
39,4,1,2.49,2.5
40,4,1,0.49,3.5
41,4,-1,2.49,2.5
42,4,0,0.49,2.5
43,4,1,1.49,3.5
44,4,-1,1.49,2.5
45,4,-1,1.49,1.5
46,4,-1,1.49,3.5
47,4,0,2.49,3.5
48,4,1,1.49,2.5
49,4,-1,2.49,1.5
50,4,0,1.49,2.5
51,4,1,0.49,2.5
52,4,0,1.49,1.5
53,4,0,2.49,1.5
54,4,1,0.49,1.5
55,4,0,1.49,2.5
56,4,0,0.49,1.5
57,4,-1,1.49,1.5
58,4,1,2.49,2.5
59,4,-1,0.49,1.5
60,4,0,2.49,3.5
61,4,-1,2.49,2.5
62,4,1,1.49,1.5
63,4,0,0.49,1.5
64,4,0,2.49,2.5
65,4,-1,1.49,3.5
66,4,0,1.49,3.5
67,4,0,0.49,3.5
68,4,1,1.49,2.5
69,4,0,1.49,3.5
70,4,1,2.49,2.5
71,4,0,0.49,3.5
72,4,-1,0.49,2.5
73,4,0,2.49,2.5
74,4,1,1.49,3.5
75,4,1,0.49,1.5
76,4,0,0.49,1.5
77,4,0,2.49,1.5
78,4,0,2.49,3.5
79,4,1,1.49,3.5
80,4,0,1.49,1.5
81,4,-1,2.49,3.5
82,4,-1,0.49,2.5
83,4,1,2.49,1.5
84,4,1,0.49,2.5
85,4,1,2.49,3.5
86,4,1,0.49,2.5
87,4,0,2.49,2.5
88,4,1,1.49,2.5
89,4,-1,0.49,2.5
90,4,0,2.49,2.5
91,4,0,1.49,2.5
92,4,0,2.49,1.5
93,4,-1,2.49,2.5
94,4,-1,0.49,1.5
95,4,-1,2.49,1.5
96,4,-1,0.49,3.5
97,4,0,1.49,3.5
98,4,1,2.49,3.5
99,4,-1,2.49,1.5
100,4,1,1.49,1.5
101,4,-1,0.49,2.5
102,4,0,2.49,2.5
103,4,1,2.49,2.5
104,4,1,2.49,1.5
105,4,0,0.49,2.5
106,4,-1,0.49,3.5
107,4,0,0.49,2.5
108,4,0,1.49,3.5
109,4,-1,0.49,1.5
110,4,1,0.49,2.5
111,4,-1,1.49,3.5
112,4,1,0.49,2.5
113,4,0,2.49,1.5
114,4,0,1.49,2.5
115,4,0,2.49,3.5
116,4,-1,1.49,1.5
117,4,1,0.49,3.5
118,4,0,0.49,1.5
119,4,-1,2.49,3.5
120,4,1,1.49,3.5
121,4,0,1.49,3.5
122,4,-1,2.49,1.5
123,4,-1,0.49,2.5
124,4,-1,1.49,3.5
125,4,-1,2.49,2.5
126,4,1,2.49,2.5
127,4,1,1.49,3.5
128,4,-1,0.49,3.5
129,4,-1,2.49,2.5
130,4,0,0.49,3.5
131,4,-1,1.49,2.5
132,4,0,1.49,2.5
133,4,1,2.49,1.5
134,4,1,2.49,3.5
0,5,1,0.49,3.5
1,5,1,0.49,1.5
2,5,-1,0.49,3.5
3,5,0,0.49,1.5
4,5,1,1.49,1.5
5,5,-1,0.49,2.5
6,5,1,2.49,3.5
7,5,1,2.49,3.5
8,5,0,2.49,1.5
9,5,0,2.49,1.5
10,5,0,2.49,3.5
11,5,0,0.49,1.5
12,5,1,0.49,3.5
13,5,0,1.49,2.5
14,5,-1,2.49,2.5
15,5,0,1.49,1.5
16,5,0,1.49,3.5
17,5,-1,2.49,3.5
18,5,0,0.49,2.5
19,5,0,1.49,3.5
20,5,1,0.49,1.5
21,5,-1,1.49,1.5
22,5,0,1.49,2.5
23,5,-1,0.49,1.5
24,5,-1,0.49,2.5
25,5,0,1.49,1.5
26,5,-1,2.49,3.5
27,5,-1,2.49,1.5
28,5,0,1.49,1.5
29,5,0,1.49,3.5
30,5,-1,0.49,1.5
31,5,1,1.49,3.5
32,5,-1,0.49,1.5
33,5,1,0.49,2.5
34,5,1,1.49,3.5
35,5,-1,2.49,3.5
36,5,1,0.49,3.5
37,5,-1,2.49,1.5
38,5,1,0.49,3.5
39,5,0,2.49,1.5
40,5,0,2.49,3.5
41,5,1,1.49,1.5
42,5,-1,2.49,2.5
43,5,-1,2.49,2.5
44,5,1,1.49,2.5
45,5,1,1.49,3.5
46,5,1,1.49,3.5
47,5,1,2.49,1.5
48,5,0,2.49,2.5
49,5,1,2.49,1.5
50,5,-1,1.49,3.5
51,5,0,1.49,2.5
52,5,-1,2.49,2.5
53,5,0,0.49,3.5
54,5,-1,0.49,3.5
55,5,-1,2.49,1.5
56,5,1,2.49,1.5
57,5,1,2.49,3.5
58,5,-1,2.49,3.5
59,5,1,0.49,2.5
60,5,-1,1.49,1.5
61,5,0,2.49,1.5
62,5,0,2.49,3.5
63,5,1,2.49,2.5
64,5,1,2.49,1.5
65,5,1,1.49,1.5
66,5,1,0.49,2.5
67,5,-1,2.49,2.5
68,5,0,2.49,3.5
69,5,0,2.49,3.5
70,5,1,0.49,2.5
71,5,-1,1.49,1.5
72,5,-1,0.49,2.5
73,5,1,1.49,2.5
74,5,-1,1.49,1.5
75,5,-1,0.49,3.5
76,5,-1,1.49,2.5
77,5,0,0.49,3.5
78,5,0,1.49,3.5
79,5,1,2.49,2.5
80,5,-1,1.49,3.5
81,5,0,1.49,1.5
82,5,0,1.49,2.5
83,5,-1,1.49,3.5
