calid,pid,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
2,7,0.015940,1.563861,0.369726,0.045056,1.546488,0.167686,0.068453,1.548248,0.017919,0.116332,1.507375,-0.251648,0.047897,1.475352,-0.424799,-0.018407,1.663008,-0.365080,-0.143702,1.436381,-0.479522,-0.089933,-0.691796,0.088642,-0.533355,0.548324,0.529682,0.049487,-0.052801,-0.046056,-0.056476,-0.210760,-0.236903,0.351907,0.203143,0.171323,0.071771,0.029337,-0.036738,-0.266380,-0.364393,-0.154328
0,8,0.146048,0.584221,-0.078245,0.172603,0.764434,-0.123781,0.161038,0.922149,-0.154285,0.139256,1.103724,-0.125746,0.049517,1.263679,-0.069460,-0.070672,1.533530,0.015435,0.421283,1.213634,0.012041,0.094614,-0.098935,0.800038,0.532852,0.582322,0.467159,0.338299,0.567417,-0.652705,0.560699,0.374171,-0.395363,-0.013036,0.288938,-0.005652,-0.079527,-0.106901,0.018897,-0.350992,-0.493985,-0.118743
1,8,0.755762,1.379446,-0.117995,0.582792,1.315595,-0.140303,0.421506,1.312320,-0.160950,0.243650,1.361704,-0.145883,0.013369,1.287004,-0.087881,-0.107141,1.531452,0.005672,0.421283,1.213634,0.012041,0.486932,0.013669,-0.126903,-0.104876,0.932716,0.330651,-0.393541,0.509544,-0.579060,-0.155374,0.623991,-0.190953,0.009983,0.314695,0.075992,-0.085118,-0.123595,0.011335,-0.350992,-0.493985,-0.118743
2,8,0.109919,1.319499,0.615560,0.134105,1.329220,0.437808,0.146456,1.327048,0.267328,0.104386,1.355640,0.088753,0.009244,1.283830,-0.075662,-0.084753,1.536312,-0.029622,0.558487,1.343383,0.036713,0.141534,0.676030,0.019946,-0.441899,0.516613,0.547601,0.080712,0.055043,-0.575965,-0.020262,-0.040044,-0.168876,0.051847,0.079250,0.105828,-0.066898,-0.059207,0.038594,-0.035207,-0.890313,-0.452629
0,9,0.260085,0.675376,-0.071094,0.278353,0.878153,-0.088042,0.265749,0.998671,-0.127505,0.199590,1.252802,-0.173493,0.108728,1.419412,-0.117371,-0.026460,1.672861,0.055768,-0.169010,1.435650,-0.070693,0.193774,-0.097793,-0.712096,-0.276882,-0.423006,-0.657685,0.519403,0.350450,-0.369783,0.532354,0.317380,-0.331232,0.116361,-0.344759,-0.055663,-0.228324,-0.015260,0.000751,-0.209959,-0.272305,-0.141466
1,9,0.907091,1.493658,-0.058086,0.710643,1.534021,-0.090807,0.586400,1.522836,-0.126905,0.322294,1.488921,-0.158394,0.101306,1.438844,-0.109147,-0.039186,1.679452,0.056778,-0.183349,1.435424,-0.063563,-0.144889,0.060231,-0.157149,0.053112,-0.757710,-0.650279,-0.099979,0.603270,-0.096539,0.017909,0.570673,0.063511,0.060112,-0.273326,-0.108388,-0.210523,-0.025257,0.001993,-0.209800,-0.283857,-0.133247
2,9,0.133875,1.473706,0.627317,0.140584,1.493552,0.424599,0.160725,1.488256,0.300926,0.153545,1.474440,0.032531,0.064040,1.453821,-0.096118,-0.034769,1.689199,0.011310,-0.182805,1.436220,-0.112779,-0.072021,-0.609667,-0.186270,0.469772,-0.610666,-0.438357,0.022254,-0.063993,-0.152645,0.016739,-0.073128,-0.016050,-0.034768,-0.057625,-0.159115,-0.184992,-0.026079,0.010521,-0.214534,-0.352368,-0.136320
0,10,0.174124,0.666497,-0.111975,0.188980,0.855479,-0.155585,0.195364,0.955532,-0.170482,0.184169,1.272947,-0.188986,0.071158,1.447158,-0.153527,-0.052138,1.641282,-0.029743,-0.202352,1.426772,-0.126590,-0.146323,0.119112,0.726150,0.412915,0.502655,0.584740,-0.570176,-0.327444,0.509988,0.617088,0.304241,-0.314606,0.257560,0.000187,0.141593,-0.239586,-0.039148,0.018033,-0.192364,-0.278756,-0.194110
1,10,0.845413,1.659168,-0.292697,0.654167,1.639336,-0.296559,0.549465,1.613019,-0.312233,0.237161,1.562322,-0.289412,0.041535,1.492594,-0.193792,-0.083979,1.663066,-0.069168,-0.231907,1.430864,-0.144343,0.105922,-0.117413,0.000341,-0.016436,0.792617,0.586176,0.275506,-0.603191,0.220686,-0.132516,0.664783,-0.051805,0.263746,-0.031104,0.071004,-0.182060,-0.050317,0.004220,-0.183715,-0.296543,-0.168542
2,10,0.052770,1.648220,0.557115,0.073962,1.631442,0.368395,0.096935,1.615928,0.262353,0.091555,1.569715,-0.055126,0.007013,1.494377,-0.185261,-0.083397,1.677766,-0.124626,-0.233413,1.426998,-0.215736,-0.017357,0.632383,-0.109473,-0.550066,0.552638,0.488640,0.021160,0.086720,0.161185,-0.035950,-0.049600,-0.012639,0.168557,0.233777,0.053820,-0.132113,-0.019215,0.007379,-0.167597,-0.398193,-0.179130
0,11,0.267624,0.688531,-0.101333,0.266433,0.878804,-0.129334,0.255751,1.030662,-0.153011,0.221277,1.225557,-0.186817,0.117363,1.387588,-0.190039,0.000259,1.622840,-0.079182,-0.121050,1.397548,-0.168758,0.393216,-0.349796,-0.504464,0.076360,0.205257,0.757274,0.667174,0.231890,-0.171302,0.572638,0.239770,-0.339497,-0.086434,0.195184,0.088914,0.173009,0.040725,0.030582,0.152176,0.271068,0.136438
1,11,0.861696,1.525490,-0.403447,0.676930,1.498392,-0.356318,0.526123,1.508928,-0.334115,0.324159,1.504938,-0.294528,0.104858,1.424953,-0.202731,-0.012407,1.641580,-0.092893,-0.138141,1.401206,-0.153390,-0.112797,0.234854,0.091954,0.055010,0.673967,0.699730,0.046679,0.761530,-0.076754,0.064326,0.699015,-0.014798,-0.056512,0.262944,0.191900,0.125995,0.046704,0.026530,0.147595,0.306758,0.106542
2,11,0.105760,1.521774,0.500777,0.131032,1.480862,0.311365,0.142306,1.489799,0.162176,0.144710,1.482084,-0.044200,0.077943,1.422144,-0.194596,0.003754,1.638236,-0.122778,-0.122940,1.404917,-0.190783,0.121924,0.667032,-0.037277,-0.577000,0.584200,0.437186,0.088415,-0.002142,0.067998,0.045337,-0.097374,0.075133,-0.021825,-0.006955,0.198430,0.138922,0.009248,0.029263,0.172660,0.319988,0.138645
0,12,0.255049,0.683813,-0.091707,0.251246,0.884802,-0.130691,0.237447,1.046994,-0.156127,0.206471,1.292244,-0.201051,0.090922,1.465359,-0.166784,-0.022090,1.724577,-0.036670,-0.168666,1.481062,-0.136384,0.144920,-0.085700,-0.663457,-0.377534,-0.474248,-0.611773,0.590227,0.288087,-0.350524,0.564617,0.312250,-0.384844,-0.097391,0.199260,0.112634,0.203415,0.059051,-0.015422,0.156305,0.231053,0.134425
1,12,0.925563,1.630124,-0.175884,0.721720,1.607350,-0.192558,0.559762,1.586288,-0.225220,0.312208,1.557665,-0.250448,0.081405,1.497897,-0.177239,-0.035848,1.737104,-0.058067,-0.184608,1.477900,-0.133646,-0.134174,0.079726,0.029463,0.016037,-0.796721,-0.590991,-0.134423,0.612919,-0.171720,-0.143700,0.602237,-0.159032,-0.061452,0.199632,0.185252,0.169752,0.059655,-0.026342,0.163456,0.247951,0.106099
2,12,0.089121,1.657606,0.627385,0.093966,1.623563,0.424367,0.122313,1.599887,0.262629,0.158781,1.553762,0.014323,0.064554,1.495994,-0.154786,-0.012633,1.738140,-0.096822,-0.179852,1.488062,-0.175125,-0.194181,-0.620084,-0.129867,0.384134,-0.703874,-0.353657,0.002286,-0.107619,-0.174541,0.007423,-0.127512,-0.145391,-0.013239,-0.148628,0.177204,0.165463,0.085749,-0.022250,0.194121,0.299193,0.145617
0,13,0.230556,0.640141,-0.031807,0.228980,0.839774,-0.030495,0.211022,0.988275,-0.045960,0.175646,1.168611,-0.083918,0.068134,1.354267,-0.075300,-0.036121,1.602760,0.020708,-0.146775,1.351824,-0.073524,-0.447357,0.361155,0.524233,0.068357,0.115320,0.798320,-0.652775,-0.207335,0.100500,0.571160,0.290960,-0.315139,0.065138,-0.040642,-0.067457,-0.137540,-0.047733,-0.042716,0.107427,0.253868,0.114990
1,13,0.840206,1.499319,-0.116353,0.634888,1.504422,-0.137636,0.482440,1.490072,-0.144509,0.295936,1.453297,-0.145752,0.061731,1.381907,-0.088014,-0.055656,1.613082,0.012857,-0.156142,1.344848,-0.073150,-0.049120,-0.069111,-0.073006,0.006343,0.627023,0.763909,0.022515,-0.723048,-0.000686,-0.192990,0.625464,-0.127309,0.067336,-0.134029,-0.153378,-0.103633,-0.046012,-0.042824,0.099254,0.266301,0.083121
2,13,0.076542,1.573997,0.640404,0.098552,1.522538,0.449561,0.114776,1.494033,0.299922,0.127282,1.438328,0.117544,0.053733,1.373485,-0.069586,-0.031567,1.616507,-0.022582,-0.139513,1.349404,-0.116076,-0.192017,-0.676218,0.049150,-0.534147,0.619981,0.428008,0.059083,0.020259,0.114678,-0.082385,-0.134491,-0.313763,0.037078,0.145079,-0.142417,-0.090196,-0.036342,-0.034290,0.124426,0.376029,0.102026
